Simple Test
n,simple_total,simple
64,1024,115,7023,3503974,0.142104
64,1024,116,7585,4050857,0.140839
64,1024,117,8192,4194304,0.125015
64,1024,118,8848,5516820,0.140954
64,1024,119,9557,6566653,0.143806
64,1024,120,10322,7589784,0.142487
64,1024,121,11148,8776142,0.141247
64,1024,122,12041,10148158,0.14
64,1024,123,13004,12129468,0.143467
64,1024,124,14046,14016136,0.142097
64,1024,125,15170,16203441,0.14083
64,1024,126,16384,16777216,0.125008
64,4096,54,64,256,0.126984
64,4096,55,70,307,0.127122
64,4096,56,75,352,0.126847
64,4096,57,81,410,0.126543
64,4096,58,88,484,0.126437
64,4096,59,95,564,0.126316
64,4096,60,102,651,0.126383
64,4096,61,110,757,0.126272
64,4096,62,119,885,0.12605
64,4096,63,128,1024,0.125984
64,4096,64,139,1208,0.125951
64,4096,65,150,1407,0.125906
64,4096,66,162,1641,0.125834
64,4096,67,175,1914,0.125714
64,4096,68,189,2233,0.12569
64,4096,69,204,2601,0.125616
64,4096,70,220,3025,0.125571
64,4096,71,238,3541,0.125554
64,4096,72,256,4096,0.12549
64,4096,73,277,4830,0.126354
64,4096,74,299,5725,0.128504
64,4096,75,323,6882,0.132339
64,4096,76,349,8022,0.132102
64,4096,77,377,9325,0.131568
64,4096,78,407,10830,0.13108
64,4096,79,439,12712,0.132222
64,4096,80,475,14869,0.132081
64,4096,81,512,16384,0.125245
64,4096,82,553,20020,0.131169
64,4096,83,598,23740,0.132995
64,4096,84,646,27931,0.134068
64,4096,85,697,32324,0.133264
64,4096,86,753,37557,0.13265
64,4096,87,813,43599,0.132087
64,4096,88,878,51336,0.133339
64,4096,89,949,59736,0.132798
64,4096,90,1024,65536,0.125122
64,4096,91,1106,80540,0.131803
64,4096,92,1195,95590,0.133989
64,4096,93,1291,111733,0.134182
64,4096,94,1394,129533,0.133413
64,4096,95,1506,150482,0.132786
64,4096,96,1626,174872,0.132366
64,4096,97,1756,205890,0.133618
64,4096,98,1897,239139,0.132976
64,4096,99,2048,262144,0.125061
64,4096,100,2212,322399,0.131841
64,4096,101,2390,383280,0.134256
64,4096,102,2581,445997,0.133954
64,4096,103,2787,517471,0.13329
64,4096,104,3011,601213,0.132673
64,4096,105,3251,697905,0.132107
64,4096,106,3512,823561,0.13358
64,4096,107,3793,956071,0.132944
64,4096,108,4096,1048576,0.125031
64,4096,109,4424,1289645,0.131816
64,4096,110,4779,1533307,0.1343
64,4096,111,5161,1782093,0.133837
64,4096,112,5574,2067872,0.133137
64,4096,113,6021,2402670,0.132574
64,4096,114,6502,2790899,0.132053
64,4096,115,7023,3293316,0.133561
64,4096,116,7585,3823310,0.132928
64,4096,117,8192,4194304,0.125015
64,4096,118,8848,5158586,0.131801
64,4096,119,9557,6134933,0.134351
64,4096,120,10322,7126565,0.13379
64,4096,121,11148,8273045,0.13315
64,4096,122,12041,9606289,0.132525
64,4096,123,13004,11158888,0.131987
64,4096,124,14046,13173384,0.133553
64,4096,125,15170,15293249,0.132919
64,4096,126,16384,16777216,0.125008
512,512,54,64,32,0.015873
512,512,55,70,39,0.0161491
512,512,56,75,44,0.0158559
512,512,57,81,52,0.0160494
512,512,58,88,61,0.0159352
512,512,59,95,71,0.0159015
512,512,60,102,82,0.0159192
512,512,61,110,95,0.0158465
512,512,62,119,111,0.0158097
512,512,63,128,128,0.015748
512,512,64,139,151,0.0157439
512,512,65,150,176,0.0157494
512,512,66,162,206,0.0157963
512,512,67,175,240,0.0157635
512,512,68,189,280,0.0157604
512,512,69,204,326,0.0157442
512,512,70,220,379,0.0157327
512,512,71,238,443,0.0157075
512,512,72,256,512,0.0156863
512,512,73,277,853,0.0223147
512,512,74,299,1046,0.0234787
512,512,75,323,1279,0.0245947
512,512,76,349,1531,0.0252116
512,512,77,377,1765,0.0249026
512,512,78,407,2203,0.0266639
512,512,79,439,2533,0.0263467
512,512,80,475,2941,0.0261248
512,512,81,512,2048,0.0156556
512,512,82,553,4072,0.0266792
512,512,83,598,5035,0.0282068
512,512,84,646,5741,0.0275566
512,512,85,697,6520,0.0268804
512,512,86,753,7442,0.0262849
512,512,87,813,9602,0.0290901
512,512,88,878,10915,0.0283504
512,512,89,949,12452,0.0276818
512,512,90,1024,8192,0.0156403
512,512,91,1106,17057,0.0279136
512,512,92,1195,20535,0.0287841
512,512,93,1291,23258,0.027931
512,512,94,1394,26246,0.0270321
512,512,95,1506,29672,0.0261828
512,512,96,1626,39217,0.0296845
512,512,97,1756,44307,0.0287542
512,512,98,1897,50233,0.0279327
512,512,99,2048,32768,0.0156326
512,512,100,2212,68647,0.0280723
512,512,101,2390,82315,0.0288333
512,512,102,2581,92997,0.0279313
512,512,103,2787,104927,0.0270271
512,512,104,3011,120157,0.0265156
